Município,Declarantes do IRPF na população (%),Patrimônio liquido médio da população (R$),Patrimônio liquido médio dos declarantes (R$),Domicílios com bens duráveis (%),Veículos por pessoa (%),Domicílios com bens duráveis teste (%)
Tunas do Paraná,4.3,281291,6540737,0.3258,0.452,32.58
Tuneiras do Oeste,8.4,1714689,20406468,0.5406,0.3098,54.06
Tupãssi,13.58,5922812,43622238,0.578,0.2611,57.8
Turvo,8.61,1776439,20641060,0.4385,0.0776,43.85
Ubiratã,17.31,5335796,30827899,0.5447,0.3372,54.47
Umuarama,16.5,6103600,36980559,0.623,427.706,62.3
União da Vitória,13.05,3064343,23489783,0.5803,3.448,58.03
Uniflor,6.24,754538,12100390,0.5407,0.0817,54.07
Uraí,13.07,3202172,24506506,0.5326,0.7692,53.26
Ventania,6.92,622610,9002518,0.4163,0.6388,41.63
Vera Cruz do Oeste,11.81,3828973,32435009,0.5234,0.785,52.34
Verê,13.19,3075494,23323038,0.533,19.088,53.3
Virmond,7.78,1344632,17278300,0.4797,0.4139,47.97
Vitorino,17.12,4281319,25013262,0.557,13.189,55.7
Wenceslau Braz,12.16,2734611,22482260,0.4967,1.337,49.67
Xambrê,6.96,1514850,21756642,0.4897,0.654,48.97
