Número,Município,Mesorregiões
143,Perobal,Noroeste Paranaense
144,Pérola,Noroeste Paranaense
145,Planaltina do Paraná,Noroeste Paranaense
146,Porto Rico,Noroeste Paranaense
147,Querência do Norte,Noroeste Paranaense
148,Rondon,Noroeste Paranaense
149,Santa Cruz de Monte Castelo,Noroeste Paranaense
150,Santa Isabel do Ivaí,Noroeste Paranaense
151,Santa Mônica,Noroeste Paranaense
152,Santo Antônio do Caiuá,Noroeste Paranaense
153,São Carlos do Ivaí,Noroeste Paranaense
154,São João do Caiuá,Noroeste Paranaense
155,São Jorge do Patrocínio,Noroeste Paranaense
156,São Manoel do Paraná,Noroeste Paranaense
157,São Pedro do Paraná,Noroeste Paranaense
158,São Tomé,Noroeste Paranaense
159,Tamboara,Noroeste Paranaense
160,Tapejara,Noroeste Paranaense
161,Tapira,Noroeste Paranaense
162,Terra Rica,Noroeste Paranaense
163,Tuneiras do Oeste,Noroeste Paranaense
164,Umuarama,Noroeste Paranaense
165,Alto Paraíso,Noroeste Paranaense
166,Xambrê,Noroeste Paranaense
167,Alvorada do Sul,Norte Central Paranaense
168,Ângulo,Norte Central Paranaense
169,Apucarana,Norte Central Paranaense
170,Arapongas,Norte Central Paranaense
171,Arapuã,Norte Central Paranaense
172,Ariranha do Ivaí,Norte Central Paranaense
173,Astorga,Norte Central Paranaense
174,Atalaia,Norte Central Paranaense
175,Bela Vista do Paraíso,Norte Central Paranaense
176,Bom Sucesso,Norte Central Paranaense
177,Borrazópolis,Norte Central Paranaense
178,Cafeara,Norte Central Paranaense
179,Califórnia,Norte Central Paranaense
180,Cambé,Norte Central Paranaense
181,Cambira,Norte Central Paranaense
182,Cândido de Abreu,Norte Central Paranaense
183,Centenário do Sul,Norte Central Paranaense
184,Colorado,Norte Central Paranaense
185,Cruzmaltina,Norte Central Paranaense
186,Doutor Camargo,Norte Central Paranaense
187,Faxinal,Norte Central Paranaense
188,Floraí,Norte Central Paranaense
189,Floresta,Norte Central Paranaense
190,Florestópolis,Norte Central Paranaense
