Município,Ano,RMT,RMM,RMF,Coeficiente de Gini,Renda Média da População (R$) ,Renda Média dos Declarantes (R$),Renda Média da População (R$ mil),Renda Média dos Declarantes (R$ mil),Rendimento médio da população feminina/masculina (%)
Cantagalo,2021,2098.46,2152.86,2033.59,0.52,35350,525864,35.35,525.86,94.46
Capanema,2021,2507.63,2761.14,2239.51,0.45,79833,628554,79.83,628.55,81.11
Capitão Leônidas Marques,2021,2154.32,2281.85,2017.42,0.46,71600,588941,71.6,588.94,88.41
Carambeí,2021,2787.5,3018.05,2405.61,0.54,144206,875119,144.21,875.12,79.71
Carlópolis,2021,1979.97,1995.87,1962.5,0.48,68487,584539,68.49,584.54,98.33
Cascavel,2021,2827.74,2982.64,2647.44,0.52,190574,910614,190.57,910.61,88.76
Castro,2021,2725.58,3029.42,2276.79,0.55,118453,781730,118.45,781.73,75.16
Catanduvas,2021,2410.38,2589.14,2201.33,0.54,56379,709412,56.38,709.41,85.02
Centenário do Sul,2021,3212.31,3147.13,3269.26,0.42,59027,603391,59.03,603.39,103.88
Cerro Azul,2021,2244.52,2244.73,2244.17,0.49,33611,477985,33.61,477.99,99.98
Céu Azul,2021,2446.67,2580.13,2273.59,0.47,123039,798131,123.04,798.13,88.12
Chopinzinho,2021,2448.9,2576.86,2303.51,0.55,109429,742455,109.43,742.46,89.39
Cianorte,2021,2446.04,2574.96,2309.33,0.41,118597,805403,118.6,805.4,89.68
Cidade Gaúcha,2021,2317.21,2474.82,2063.53,0.43,83181,724125,83.18,724.13,83.38
Clevelândia,2021,2399.95,2511.93,2250.08,0.56,81994,732647,81.99,732.65,89.58
Colombo,2021,2729.48,2747.36,2702.44,0.42,69990,482397,69.99,482.4,98.36
Colorado,2021,2466.34,2631.96,2163.26,0.44,108772,667420,108.77,667.42,82.19
Congonhinhas,2021,2258.42,2114.73,2403.88,0.51,44295,631757,44.3,631.76,113.67
Conselheiro Mairinck,2021,2256.11,2102.67,2448.66,0.48,57300,601883,57.3,601.88,116.45
Contenda,2021,2578.59,2481.12,2717.04,0.48,62824,537427,62.82,537.43,109.51
Corbélia,2021,2391.66,2442.44,2322.46,0.48,112537,714235,112.54,714.24,95.09
Cornélio Procópio,2021,2269.43,2889.36,1788.22,0.49,168253,875047,168.25,875.05,61.89
Coronel Domingos Soares,2021,2345.16,2329.12,2368.16,0.54,25667,383632,25.67,383.63,101.68
Coronel Vivida,2021,2586.62,2763.61,2368.39,0.47,103817,756301,103.82,756.3,85.7
Corumbataí do Sul,2021,2237.04,2360.04,2133.3,0.42,51380,533767,51.38,533.77,90.39
Cruz Machado,2021,2173.48,2131.64,2223.71,0.55,26129,580200,26.13,580.2,104.32
Cruzeiro do Iguaçu,2021,2315.13,2502.82,2114.84,0.51,60266,506996,60.27,507.0,84.5
Cruzeiro do Oeste,2021,2313.96,2415.87,2179.28,0.44,79148,668516,79.15,668.52,90.21
