Município,Ano,RMT,RMM,RMF,Coeficiente de Gini,Renda Média da População (R$) ,Renda Média dos Declarantes (R$),Renda Média da População (R$ mil),Renda Média dos Declarantes (R$ mil),Rendimento médio da população feminina/masculina (%)
Porecatu,2021,1933.84,1900.11,1972.82,0.43,113379,669768,113.38,669.77,103.83
Porto Amazonas,2021,2539.22,2754.48,2151.42,0.51,56668,484560,56.67,484.56,78.11
Porto Barreiro,2021,3268.52,3225.99,3316.02,0.52,39305,539433,39.31,539.43,102.79
Porto Rico,2021,2482.35,2478.01,2489.15,0.49,85824,592878,85.82,592.88,100.45
Porto Vitória,2021,2078.99,2008.65,2188.69,0.45,34862,542436,34.86,542.44,108.96
Prado Ferreira,2021,2317.61,2382.76,2155.12,0.51,49576,497073,49.58,497.07,90.45
Pranchita,2021,2354.1,2463.98,2183.57,0.52,127685,791427,127.69,791.43,88.62
Presidente Castelo Branco,2021,2171.7,2036.6,2377.9,0.39,42910,505749,42.91,505.75,116.76
Primeiro de Maio,2021,2431.92,2640.46,2185.05,0.48,184668,1350432,184.67,1350.43,82.75
Prudentópolis,2021,2222.98,2297.05,2130.41,0.48,63050,835463,63.05,835.46,92.75
Quarto Centenário,2021,2679.2,2715.86,2626.11,0.61,64311,658603,64.31,658.6,96.7
Quatiguá,2021,2257.76,2342.27,2138.34,0.43,82950,667615,82.95,667.62,91.29
Quatro Barras,2021,3470.18,3721.13,2913.49,0.49,130161,707178,130.16,707.18,78.3
Quatro Pontes,2021,2924.54,3198.27,2522.14,0.47,150886,682290,150.89,682.29,78.86
Quedas do Iguaçu,2021,2310.9,2516.13,2063.78,0.58,53981,655178,53.98,655.18,82.02
Querência do Norte,2021,2388.93,2440.36,2318.48,0.51,48088,824980,48.09,824.98,95.01
Quinta do Sol,2021,2307.02,2484.61,2030.83,0.44,79339,631912,79.34,631.91,81.74
Quitandinha,2021,2566.6,2435.74,2686.75,0.49,36346,530047,36.35,530.05,110.31
Ramilândia,2021,2394.08,2289.47,2527.22,0.48,36611,557387,36.61,557.39,110.38
Rancho Alegre,2021,2353.03,2341.46,2366.2,0.51,77125,629456,77.13,629.46,101.06
Rancho Alegre D'Oeste,2021,3080.88,2999.65,3219.89,0.45,65767,556739,65.77,556.74,107.34
Realeza,2021,2199.99,2395.16,1961.15,0.44,97936,630705,97.94,630.71,81.88
Rebouças,2021,2125.03,2235.08,2005.22,0.52,47156,541736,47.16,541.74,89.72
Renascença,2021,2571.13,2786.63,2226.33,0.58,85355,614971,85.36,614.97,79.89
Reserva,2021,2076.52,2089.52,2056.76,0.51,33918,508712,33.92,508.71,98.43
Reserva do Iguaçu,2021,2281.13,2288.67,2273.12,0.57,44328,591294,44.33,591.29,99.32
Ribeirão Claro,2021,2238.89,2233.45,2245.92,0.55,110457,812027,110.46,812.03,100.56
Ribeirão do Pinhal,2021,1832.38,1945.11,1656.85,0.51,56898,657197,56.9,657.2,85.18
Rio Azul,2021,2704.58,2858.23,2534.47,0.64,38505,584082,38.51,584.08,88.67
Rio Bom,2021,2014.76,1997.3,2031.94,0.44,46740,607050,46.74,607.05,101.73
Rio Bonito do Iguaçu,2021,2434.98,2418.87,2452.64,0.51,25773,520771,25.77,520.77,101.4
Rio Branco do Ivaí,2021,1876.13,2035.2,1540.08,0.5,39007,536058,39.01,536.06,75.67
Rio Branco do Sul,2021,2560.79,2692.5,2270.45,0.48,51557,503904,51.56,503.9,84.32
Rio Negro,2021,2565.21,2782.59,2266.89,0.48,104048,701491,104.05,701.49,81.47
Rolândia,2021,2638.77,2810.56,2436.89,0.46,133529,819975,133.53,819.98,86.7
Roncador,2021,2396.65,2519.03,2236.11,0.54,67742,622852,67.74,622.85,88.77
Rondon,2021,2192.79,2243.98,2112.14,0.41,70293,629758,70.29,629.76,94.12
Rosário do Ivaí,2021,1851.94,1873.67,1831.06,0.48,44873,507012,44.87,507.01,97.73
Sabáudia,2021,2135.7,2179.99,2054.07,0.42,85501,630818,85.5,630.82,94.22
Salgado Filho,2021,1876.67,2060.18,1755.78,0.46,57229,576093,57.23,576.09,85.22
Salto do Itararé,2021,1479.96,1651.43,1362.89,0.42,44817,593278,44.82,593.28,82.53
Salto do Lontra,2021,1882.84,1878.65,1887.65,0.46,50425,588167,50.43,588.17,100.48
Santa Amélia,2021,2147.96,2018.16,2285.78,0.41,70068,794591,70.07,794.59,113.26
Santa Cecília do Pavão,2021,2243.22,2406.66,2037.17,0.48,78705,738395,78.71,738.4,84.65
Santa Cruz de Monte Castelo,2021,2274.17,2363.21,2161.25,0.38,71291,704816,71.29,704.82,91.45
Santa Fé,2021,2222.98,2270.01,2178.37,0.42,81130,759331,81.13,759.33,95.96
Santa Helena,2021,2748.47,2751.18,2745.53,0.53,100395,759757,100.4,759.76,99.79
Santa Inês,2021,2419.23,2472.13,2359.1,0.39,76521,631994,76.52,631.99,95.43
Santa Isabel do Ivaí,2021,2289.55,2332.54,2226.78,0.41,90857,803294,90.86,803.29,95.47
Santa Izabel do Oeste,2021,2255.89,2482.71,2032.14,0.45,58776,805873,58.78,805.87,81.85
Santa Lúcia,2021,2090.1,2193.17,1971.84,0.45,46812,580258,46.81,580.26,89.91
Santa Maria do Oeste,2021,2339.03,2372.64,2304.4,0.49,36023,559371,36.02,559.37,97.12
Santa Mariana,2021,2444.88,2702.61,2073.15,0.44,92231,671198,92.23,671.2,76.71
Santa Mônica,2021,2143.29,2193.71,2058.09,0.49,25472,446809,25.47,446.81,93.82
Santa Tereza do Oeste,2021,2534.67,2692.47,2285.99,0.45,81353,563719,81.35,563.72,84.9
Santa Terezinha de Itaipu,2021,2293.64,2402.46,2167.34,0.46,122548,775504,122.55,775.5,90.21
Santana do Itararé,2021,1886.41,1882.66,1891.99,0.51,41296,511455,41.3,511.46,100.5
Santo Antônio da Platina,2021,2111.31,2204.05,2011.84,0.55,92405,710177,92.41,710.18,91.28
Santo Antônio do Caiuá,2021,1990.86,1993.69,1987.35,0.36,41772,505499,41.77,505.5,99.68
Santo Antônio do Paraíso,2021,2089.75,2194.01,1951.47,0.49,117481,916792,117.48,916.79,88.95
Santo Antônio do Sudoeste,2021,2190.57,2354.16,2022.77,0.52,62431,632772,62.43,632.77,85.92
Santo Inácio,2021,2683.69,2911.1,2276.33,0.53,97828,626287,97.83,626.29,78.19
São Carlos do Ivaí,2021,2640.31,2798.96,2352.03,0.4,65790,659807,65.79,659.81,84.03
São Jerônimo da Serra,2021,2179.35,2177.14,2181.65,0.55,32500,504407,32.5,504.41,100.21
São João,2021,2153.76,2393.16,1914.85,0.44,55303,620776,55.3,620.78,80.01
São João do Caiuá,2021,2309.29,2310.2,2308.14,0.47,96677,825280,96.68,825.28,99.91
São João do Ivaí,2021,2364.17,2481.83,2240.91,0.44,35577,663679,35.58,663.68,90.29
São João do Triunfo,2021,2645.2,2622.93,2668.01,0.5,116570,726315,116.57,726.32,101.72
São Jorge do Ivaí,2021,2343.99,2519.86,2102.28,0.43,166642,985803,166.64,985.8,83.43
São Jorge do Patrocínio,2021,1676.44,1769.02,1578.84,0.4,56616,640194,56.62,640.19,89.25
São Jorge d'Oeste,2021,2388.62,2744.92,2013.54,0.48,73497,618387,73.5,618.39,73.36
São José da Boa Vista,2021,1851.99,1750.25,1974.07,0.44,39214,541606,39.21,541.61,112.79
São José das Palmeiras,2021,2132.77,2196.8,2056.2,0.45,61168,526974,61.17,526.97,93.6
São José dos Pinhais,2021,3496.77,3777.09,3036.35,0.46,117919,592826,117.92,592.83,80.39
São Manoel do Paraná,2021,1995.0,2084.61,1916.16,0.44,65401,604537,65.4,604.54,91.92
São Mateus do Sul,2021,2730.14,3249.94,2183.5,0.51,89301,721091,89.3,721.09,67.19
São Miguel do Iguaçu,2021,2521.09,2526.39,2514.26,0.55,131310,838197,131.31,838.2,99.52
São Pedro do Iguaçu,2021,2480.38,2756.14,2157.23,0.47,53124,558091,53.12,558.09,78.27
São Pedro do Ivaí,2021,2333.16,2440.15,2140.7,0.41,87504,898300,87.5,898.3,87.73
São Pedro do Paraná,2021,2218.61,2307.92,2075.04,0.4,53699,470951,53.7,470.95,89.91
São Sebastião da Amoreira,2021,1752.62,1615.2,1916.03,0.45,164237,1814185,164.24,1814.19,118.62
São Tomé,2021,2341.51,2328.08,2355.29,0.39,55677,548192,55.68,548.19,101.17
Sapopema,2021,2216.35,2215.66,2217.72,0.58,50360,537329,50.36,537.33,100.09
Sarandi,2021,2478.32,2485.61,2468.87,0.37,53531,432687,53.53,432.69,99.33
Saudade do Iguaçu,2021,3685.86,3705.35,3659.17,0.47,64716,580033,64.72,580.03,98.75
Sengés,2021,2365.36,2479.28,2110.78,0.52,43235,503666,43.24,503.67,85.14
Serranópolis do Iguaçu,2021,2459.24,2443.31,2473.95,0.51,129745,693986,129.75,693.99,101.25
Sertaneja,2021,2519.65,2774.02,2143.81,0.53,120445,866541,120.45,866.54,77.28
Sertanópolis,2021,2407.54,2454.68,2325.48,0.43,158850,966350,158.85,966.35,94.74
Siqueira Campos,2021,1948.4,2116.99,1751.0,0.5,85428,847064,85.43,847.06,82.71
Sulina,2021,2656.77,2835.76,2442.83,0.47,60399,546198,60.4,546.2,86.14
Tamarana,2021,2493.47,2359.13,2729.46,0.48,42872,693324,42.87,693.32,115.7
Tamboara,2021,2753.85,3026.22,2401.38,0.34,71234,646875,71.23,646.88,79.35
Tapejara,2021,2394.79,2516.54,2134.59,0.41,56841,578852,56.84,578.85,84.82
Tapira,2021,2134.68,2163.18,2103.13,0.43,50072,519142,50.07,519.14,97.22
Teixeira Soares,2021,2367.99,2397.2,2316.77,0.52,41899,691000,41.9,691.0,96.64
Telêmaco Borba,2021,3084.54,3511.87,2403.7,0.5,115454,613742,115.45,613.74,68.45
Terra Boa,2021,2128.78,2172.32,2089.06,0.4,68470,685103,68.47,685.1,96.17
Terra Rica,2021,2328.17,2375.24,2258.65,0.39,72580,655116,72.58,655.12,95.09
Terra Roxa,2021,2333.69,2525.37,2128.85,0.43,117815,818539,117.82,818.54,84.3
Tibagi,2021,2913.6,2891.45,2949.71,0.56,89534,708806,89.53,708.81,102.01
Tijucas do Sul,2021,2156.52,2095.64,2229.11,0.48,38378,491486,38.38,491.49,106.37
Toledo,2021,2706.93,2918.36,2471.85,0.47,174023,819314,174.02,819.31,84.7
Tomazina,2021,2039.78,2010.76,2083.29,0.46,70341,781151,70.34,781.15,103.61
Três Barras do Paraná,2021,2366.62,2434.71,2279.91,0.52,51796,669726,51.8,669.73,93.64
Tunas do Paraná,2021,2312.06,1957.89,3256.5,0.53,18730,435531,18.73,435.53,166.33
Tuneiras do Oeste,2021,1966.97,2086.37,1877.05,0.39,42354,504055,42.35,504.06,89.97
Tupãssi,2021,2750.99,2948.28,2500.77,0.48,117372,864457,117.37,864.46,84.82
Turvo,2021,2431.17,2413.69,2460.02,0.53,45242,525681,45.24,525.68,101.92
Ubiratã,2021,1999.67,2180.26,1807.37,0.48,150292,868322,150.29,868.32,82.9
Umuarama,2021,2411.04,2479.01,2329.67,0.5,152940,926632,152.94,926.63,93.98
União da Vitória,2021,2375.8,2426.18,2313.02,0.49,95767,734106,95.77,734.11,95.34
Uniflor,2021,2245.13,2506.68,2017.65,0.37,33085,530581,33.09,530.58,80.49
Uraí,2021,2223.21,2333.4,2104.66,0.48,92104,704883,92.1,704.88,90.2
Ventania,2021,2196.1,2365.13,1896.34,0.44,33251,480789,33.25,480.79,80.18
Vera Cruz do Oeste,2021,2058.92,2254.68,1854.01,0.56,83545,707702,83.55,707.7,82.23
Verê,2021,2414.57,2547.35,2248.45,0.48,80340,609259,80.34,609.26,88.27
Virmond,2021,2248.26,2217.9,2287.0,0.54,41975,539372,41.98,539.37,103.12
Vitorino,2021,2538.36,2800.2,2029.73,0.5,111053,648821,111.05,648.82,72.49
Wenceslau Braz,2021,2149.25,2168.33,2123.63,0.52,73598,605080,73.6,605.08,97.94
Xambrê,2021,1807.0,1892.61,1702.57,0.49,43028,617983,43.03,617.98,89.96
