CD_MUN,Município,População
16950,Nova Esperança do Sudoeste,5592
17008,Nova Fátima,7225
17057,Nova Laranjeiras,14132
17107,Nova Londrina,12911
17206,Nova Olímpia,5834
17214,Nova Santa Bárbara,4183
17222,Nova Santa Rosa,8292
17255,Nova Prata do Iguaçu,10780
17271,Nova Tebas,6848
17297,Novo Itacolomi,4061
17305,Ortigueira,26078
17404,Ourizona,3184
17453,Ouro Verde do Oeste,6808
17503,Paiçandu,49999
17602,Palmas,43769
17701,Palmeira,36384
17800,Palmital,13080
17909,Palotina,35063
18006,Paraíso do Norte,13246
18105,Paranacity,9561
18204,Paranaguá,157043
18303,Paranapoema,2406
18402,Paranavaí,90969
18451,Pato Bragado,5976
18501,Pato Branco,94239
18600,Paula Freitas,5616
18709,Paulo Frontin,6460
18808,Peabiru,13345
18857,Perobal,7132
18907,Pérola,11885
19004,Pérola d'Oeste,6197
19103,Piên,13552
19152,Pinhais,131048
19202,Pinhalão,6564
19251,Pinhal de São Bento,2762
19301,Pinhão,29931
19400,Piraí do Sul,23514
19509,Piraquara,131101
19608,Pitanga,33640
19657,Pitangueiras,3016
19707,Planaltina do Paraná,4063
19806,Planalto,14300
19905,Ponta Grossa,391654
19954,Pontal do Paraná,32985
20002,Porecatu,11596
20101,Porto Amazonas,5543
20150,Porto Barreiro,3111
20200,Porto Rico,3194
20309,Porto Vitória,3484
20333,Prado Ferreira,3663
20358,Pranchita,5705
20408,Presidente Castelo Branco,4334
20507,Primeiro de Maio,10239
20606,Prudentópolis,49395
20655,Quarto Centenário,4213
20705,Quatiguá,8092
20804,Quatro Barras,26452
20853,Quatro Pontes,4051
20903,Quedas do Iguaçu,30785
21000,Querência do Norte,10708
21109,Quinta do Sol,5009
21208,Quitandinha,19240
21257,Ramilândia,4848
21307,Rancho Alegre,3511
21356,Rancho Alegre D'Oeste,2615
21406,Realeza,18928
21505,Rebouças,14524
21604,Renascença,6839
21703,Reserva,26786
21752,Reserva do Iguaçu,7009
21802,Ribeirão Claro,12357
21901,Ribeirão do Pinhal,13053
22008,Rio Azul,14032
22107,Rio Bom,3755
22156,Rio Bonito do Iguaçu,13955
22172,Rio Branco do Ivaí,3866
22206,Rio Branco do Sul,32566
22305,Rio Negro,31406
22404,Rolândia,71344
22503,Roncador,11253
22602,Rondon,9093
22651,Rosário do Ivaí,5697
22701,Sabáudia,8819
22800,Salgado Filho,4144
22909,Salto do Itararé,5195
23006,Salto do Lontra,14006
23105,Santa Amélia,3396
23204,Santa Cecília do Pavão,3361
23303,Santa Cruz de Monte Castelo,8630
23402,Santa Fé,11397
23501,Santa Helena,24917
23600,Santa Inês,1744
23709,Santa Isabel do Ivaí,8897
23808,Santa Izabel do Oeste,12444
23824,Santa Lúcia,3668
23857,Santa Maria do Oeste,9811
23907,Santa Mariana,11111
23956,Santa Mônica,3357
24004,Santana do Itararé,5514
24020,Santa Tereza do Oeste,12928
24053,Santa Terezinha de Itaipu,23236
24103,Santo Antônio da Platina,45261
24202,Santo Antônio do Caiuá,2499
24301,Santo Antônio do Paraíso,2122
24400,Santo Antônio do Sudoeste,19677
24509,Santo Inácio,6184
24608,São Carlos do Ivaí,6588
24707,São Jerônimo da Serra,10742
24806,São João,11683
24905,São João do Caiuá,5585
25001,São João do Ivaí,10665
25100,São João do Triunfo,13725
25209,São Jorge d'Oeste,9308
25308,São Jorge do Ivaí,5159
25357,São Jorge do Patrocínio,6520
25407,São José da Boa Vista,5968
25456,São José das Palmeiras,4063
25506,São José dos Pinhais,327746
25555,São Manoel do Paraná,2132
25605,São Mateus do Sul,44313
25704,São Miguel do Iguaçu,29285
25753,São Pedro do Iguaçu,6854
25803,São Pedro do Ivaí,8691
25902,São Pedro do Paraná,2654
26009,São Sebastião da Amoreira,8070
26108,São Tomé,5385
26207,Sapopema,6444
26256,Sarandi,126057
26272,Saudade do Iguaçu,6137
26306,Sengés,17112
26355,Serranópolis do Iguaçu,5034
26405,Sertaneja,5761
26504,Sertanópolis,16694
26603,Siqueira Campos,24083
26652,Sulina,3440
26678,Tamarana,12115
26702,Tamboara,4879
26801,Tapejara,15659
26900,Tapira,5743
27007,Teixeira Soares,9565
27106,Telêmaco Borba,73331
27205,Terra Boa,18654
27304,Terra Rica,14862
27403,Terra Roxa,18448
27502,Tibagi,18612
27601,Tijucas do Sul,17717
27700,Toledo,156123
27809,Tomazina,9659
27858,Três Barras do Paraná,11142
27882,Tunas do Paraná,8617
27908,Tuneiras do Oeste,10332
27957,Tupãssi,8088
27965,Turvo,16147
28005,Ubiratã,24733
28104,Umuarama,117148
28203,União da Vitória,55238
28302,Uniflor,2136
28401,Uraí,10378
28500,Wenceslau Braz,18894
28534,Ventania,9682
28559,Vera Cruz do Oeste,9326
28609,Verê,7929
28625,Alto Paraíso,3059
28633,Doutor Ulysses,6216
28658,Virmond,3813
28708,Vitorino,9942
28807,Xambrê,5769
