Localidade,Ano,Rendimento Médio (RAIS) - Total (R$ 1.00),Rendimento Médio (RAIS) - Masculino (R$ 1.00),Rendimento Médio (RAIS) - Feminino (R$ 1.00),Índice de Gini da Renda Domiciliar per Capita (2010),Renda Média da População (R$) ,Renda Média dos Declarantes (R$)
Colorado,2021,2466.34,2631.96,2163.26,"0,4372",108772,667420
Congonhinhas,2021,2258.42,2114.73,2403.88,"0,5071",44295,631757
Conselheiro Mairinck,2021,2256.11,2102.67,2448.66,"0,4766",57300,601883
Contenda,2021,2578.59,2481.12,2717.04,"0,4787",62824,537427
Corbélia,2021,2391.66,2442.44,2322.46,"0,481",112537,714235
Cornélio Procópio,2021,2269.43,2889.36,1788.22,"0,488",168253,875047
Coronel Domingos Soares,2021,2345.16,2329.12,2368.16,"0,5416",25667,383632
Coronel Vivida,2021,2586.62,2763.61,2368.39,"0,4741",103817,756301
Corumbataí do Sul,2021,2237.04,2360.04,2133.3,"0,4229",51380,533767
Cruz Machado,2021,2173.48,2131.64,2223.71,"0,5463",26129,580200
Cruzeiro do Iguaçu,2021,2315.13,2502.82,2114.84,"0,5147",60266,506996
Cruzeiro do Oeste,2021,2313.96,2415.87,2179.28,"0,4388",79148,668516
Cruzeiro do Sul,2021,2167.76,2187.5,2141.21,"0,4189",74703,618911
Cruzmaltina,2021,2506.73,2463.5,2574.08,"0,3801",45550,496464
Curitiba,2021,4220.87,4551.5,3874.94,"0,5652",342702,1127100
Curiúva,2021,1959.6,2012.62,1897.02,"0,4503",42126,497389
Diamante do Norte,2021,2427.93,2445.81,2410.44,"0,4461",90009,730236
Diamante do Sul,2021,1996.12,1937.92,2062.28,"0,4622",20442,496416
Diamante D'Oeste,2021,2292.49,2343.74,2239.39,"0,5059",45276,570386
Dois Vizinhos,2021,2609.33,2752.21,2419.09,"0,4754",123016,721910
Douradina,2021,3018.14,3402.77,2484.76,"0,4361",407353,2503684
Doutor Camargo,2021,2168.05,2365.64,1990.8,"0,3973",87829,667703
Doutor Ulysses,2021,2170.65,2226.7,2114.6,"0,5019",17812,376013
Enéas Marques,2021,2397.76,2530.07,2177.14,"0,5978",68781,617362
Engenheiro Beltrão,2021,2264.66,2442.7,2055.25,"0,4533",85151,609261
Entre Rios do Oeste,2021,2566.33,2734.28,2359.17,"0,4995",129959,741976
Esperança Nova,2021,2281.53,2320.28,2239.88,"0,3947",52264,521080
Espigão Alto do Iguaçu,2021,1929.36,2129.58,1723.59,"0,5798",37452,565697
Farol,2021,2631.77,2751.85,2471.42,"0,4953",63965,563821
Faxinal,2021,2334.44,2420.66,2232.59,"0,4868",69947,704592
Fazenda Rio Grande,2021,2823.81,2923.24,2686.43,"0,4922",81804,428597
Fênix,2021,2219.19,2415.46,2021.75,"0,4435",59185,535257
Fernandes Pinheiro,2021,2371.14,2364.89,2378.17,"0,5507",42597,634656
Figueira,2021,2385.4,2492.12,2214.83,"0,4572",69662,501514
Flor da Serra do Sul,2021,2081.75,2148.3,2023.17,"0,4617",44752,604092
Floraí,2021,2159.08,2204.4,2090.74,"0,4314",96264,769173
Floresta,2021,2227.55,2246.13,2210.21,"0,3687",167957,865817
Florestópolis,2021,2206.89,2378.05,1844.13,"0,3413",61084,494590
Flórida,2021,2567.84,2380.72,2739.84,"0,3921",98324,637926
Formosa do Oeste,2021,2386.46,2432.59,2337.53,"0,4195",159897,743117
Foz do Iguaçu,2021,3103.06,3421.17,2766.87,"0,5454",156413,758148
Foz do Jordão,2021,2012.9,1793.49,2272.06,"0,551",43018,420579
Francisco Alves,2021,1934.8,2070.65,1787.33,"0,4178",55910,531854
Francisco Beltrão,2021,2733.85,2873.94,2581.67,"0,4721",134564,743139
General Carneiro,2021,2292.75,2137.72,2574.38,"0,4871",37052,627553
Godoy Moreira,2021,2399.95,2433.03,2371.75,"0,4486",37289,532338
Goioerê,2021,2452.14,2668.85,2228.97,"0,492",118237,793240
Goioxim,2021,2424.92,2243.59,2732.25,"0,4938",23562,548461
Grandes Rios,2021,1979.69,1910.48,2065.5,"0,4576",51122,610910
