Localidade,Ano,Rendimento Médio (RAIS) - Total (R$ 1.00),Rendimento Médio (RAIS) - Masculino (R$ 1.00),Rendimento Médio (RAIS) - Feminino (R$ 1.00),Índice de Gini da Renda Domiciliar per Capita (2010),Renda Média da População (R$) ,Renda Média dos Declarantes (R$)
São Manoel do Paraná,2021,1995.0,2084.61,1916.16,"0,4406",65401,604537
São Mateus do Sul,2021,2730.14,3249.94,2183.5,"0,5093",89301,721091
São Miguel do Iguaçu,2021,2521.09,2526.39,2514.26,"0,5467",131310,838197
São Pedro do Iguaçu,2021,2480.38,2756.14,2157.23,"0,4689",53124,558091
São Pedro do Ivaí,2021,2333.16,2440.15,2140.7,"0,4084",87504,898300
São Pedro do Paraná,2021,2218.61,2307.92,2075.04,"0,4038",53699,470951
São Sebastião da Amoreira,2021,1752.62,1615.2,1916.03,"0,4456",164237,1814185
São Tomé,2021,2341.51,2328.08,2355.29,"0,3863",55677,548192
Sapopema,2021,2216.35,2215.66,2217.72,"0,5849",50360,537329
Sarandi,2021,2478.32,2485.61,2468.87,"0,3741",53531,432687
Saudade do Iguaçu,2021,3685.86,3705.35,3659.17,"0,4704",64716,580033
Sengés,2021,2365.36,2479.28,2110.78,"0,5238",43235,503666
Serranópolis do Iguaçu,2021,2459.24,2443.31,2473.95,"0,507",129745,693986
Sertaneja,2021,2519.65,2774.02,2143.81,"0,5318",120445,866541
Sertanópolis,2021,2407.54,2454.68,2325.48,"0,4316",158850,966350
Siqueira Campos,2021,1948.4,2116.99,1751.0,"0,4968",85428,847064
Sulina,2021,2656.77,2835.76,2442.83,"0,4746",60399,546198
Tamarana,2021,2493.47,2359.13,2729.46,"0,4848",42872,693324
Tamboara,2021,2753.85,3026.22,2401.38,"0,3418",71234,646875
Tapejara,2021,2394.79,2516.54,2134.59,"0,41",56841,578852
Tapira,2021,2134.68,2163.18,2103.13,"0,4295",50072,519142
Teixeira Soares,2021,2367.99,2397.2,2316.77,"0,5156",41899,691000
Telêmaco Borba,2021,3084.54,3511.87,2403.7,"0,4958",115454,613742
Terra Boa,2021,2128.78,2172.32,2089.06,"0,4009",68470,685103
Terra Rica,2021,2328.17,2375.24,2258.65,"0,3891",72580,655116
Terra Roxa,2021,2333.69,2525.37,2128.85,"0,426",117815,818539
Tibagi,2021,2913.6,2891.45,2949.71,"0,5565",89534,708806
Tijucas do Sul,2021,2156.52,2095.64,2229.11,"0,4833",38378,491486
Toledo,2021,2706.93,2918.36,2471.85,"0,4706",174023,819314
Tomazina,2021,2039.78,2010.76,2083.29,"0,4599",70341,781151
Três Barras do Paraná,2021,2366.62,2434.71,2279.91,"0,5153",51796,669726
Tunas do Paraná,2021,2312.06,1957.89,3256.5,"0,5283",18730,435531
Tuneiras do Oeste,2021,1966.97,2086.37,1877.05,"0,3917",42354,504055
Tupãssi,2021,2750.99,2948.28,2500.77,"0,4768",117372,864457
Turvo,2021,2431.17,2413.69,2460.02,"0,5307",45242,525681
Ubiratã,2021,1999.67,2180.26,1807.37,"0,4784",150292,868322
Umuarama,2021,2411.04,2479.01,2329.67,"0,495",152940,926632
União da Vitória,2021,2375.8,2426.18,2313.02,"0,4882",95767,734106
Uniflor,2021,2245.13,2506.68,2017.65,"0,3687",33085,530581
Uraí,2021,2223.21,2333.4,2104.66,"0,4792",92104,704883
Ventania,2021,2196.1,2365.13,1896.34,"0,4386",33251,480789
Vera Cruz do Oeste,2021,2058.92,2254.68,1854.01,"0,5595",83545,707702
Verê,2021,2414.57,2547.35,2248.45,"0,4782",80340,609259
Virmond,2021,2248.26,2217.9,2287.0,"0,5398",41975,539372
Vitorino,2021,2538.36,2800.2,2029.73,"0,4968",111053,648821
Wenceslau Braz,2021,2149.25,2168.33,2123.63,"0,5186",73598,605080
Xambrê,2021,1807.0,1892.61,1702.57,"0,4879",43028,617983
